epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,271.749,1.25817,2.29909,1.40499,0.38957,0.30826,0.26536,0.13469,1.57966,2.43996,1.707,0.0670496,0.000332832,0.000332832
2,543.577,1.31824,1.97656,1.46355,0.45567,0.39235,0.36886,0.21087,1.44382,1.91277,1.54856,0.0340057,0.000622198,0.000622198
3,806.319,1.32319,1.94426,1.48389,0.56829,0.4536,0.49058,0.29101,1.34383,1.66988,1.47698,0.00091769,0.000867565,0.000867565
4,1064.54,1.30121,1.84484,1.46248,0.58049,0.45774,0.49434,0.29601,1.35,1.6362,1.4711,0.000802,0.000802,0.000802
5,1320.84,1.26202,1.74555,1.43648,0.66537,0.5455,0.6005,0.37991,1.25379,1.39396,1.39079,0.000736,0.000736,0.000736
6,1571,1.27634,1.61467,1.46627,0.6573,0.54516,0.60463,0.38732,1.25192,1.39918,1.39454,0.00067,0.00067,0.00067
7,1820.96,1.23599,1.50613,1.43529,0.67097,0.58007,0.64324,0.41938,1.19507,1.29702,1.35153,0.000604,0.000604,0.000604
8,2068.21,1.20356,1.42317,1.40917,0.70161,0.5974,0.67016,0.44916,1.14814,1.21876,1.31956,0.000538,0.000538,0.000538
9,2313.95,1.17091,1.35032,1.38135,0.74865,0.62826,0.71496,0.48485,1.12465,1.14645,1.28954,0.000472,0.000472,0.000472
10,2560.74,1.143,1.28127,1.35708,0.76243,0.64914,0.73948,0.51371,1.08994,1.10476,1.26617,0.000406,0.000406,0.000406
11,2805.77,1.10923,1.21897,1.33309,0.78071,0.66915,0.7636,0.54163,1.04382,1.02046,1.22444,0.00034,0.00034,0.00034
12,3049.34,1.08003,1.15193,1.30848,0.78952,0.69971,0.7855,0.56517,1.00774,0.96548,1.19692,0.000274,0.000274,0.000274
13,3292.59,1.05268,1.08192,1.2835,0.80247,0.7081,0.79808,0.58279,0.99088,0.92638,1.18259,0.000208,0.000208,0.000208
14,3537,1.02287,1.0305,1.26226,0.82391,0.73608,0.8251,0.60675,0.97012,0.86324,1.16133,0.000142,0.000142,0.000142
15,3788.7,1.00001,0.98651,1.24231,0.84242,0.74191,0.83557,0.619,0.95491,0.83904,1.14765,7.6e-05,7.6e-05,7.6e-05
